matricula;latitude;longitude
1302500;-28,283037;-52,76856
1401979;-28,282736;-52,768322
1302499;-28,282734;-52,768307
1119927;-28,282673;-52,768276
1302498;-28,282677;-52,768215
1119960;-28,282576;-52,768135
1302497;-28,282534;-52,76815
1401978;-28,282492;-52,76813
1302496;-28,28223;-52,768005
1119922;-28,282192;-52,7681
1119921;-28,282106;-52,76813
1302495;-28,282087;-52,76821
1401977;-28,282022;-52,768253
1119950;-28,282293;-52,768654
1302508;-28,282305;-52,76866
1302506;-28,282324;-52,768707
1302507;-28,282349;-52,768684
1302478;-28,282354;-52,76874
1119946;-28,282433;-52,76867
1302505;-28,282663;-52,768982
1302481;-28,282768;-52,76908
1302503;-28,28284;-52,769047
1302482;-28,282875;-52,76922
1401970;-28,282778;-52,769165
1302504;-28,282625;-52,769043
1302480;-28,28258;-52,76902
1119891;-28,282522;-52,768974
1401969;-28,282475;-52,768932
1302479;-28,28237;-52,768806
1119889;-28,282242;-52,768806
1302477;-28,28217;-52,768684
1119885;-28,282063;-52,768612
2613298;-28,281816;-52,768616
1119875;-28,281761;-52,76865
1302468;-28,281693;-52,76874
1302494;-28,281668;-52,76872
1302493;-28,281858;-52,769024
1119916;-28,28192;-52,769073
1302492;-28,28209;-52,76921
1302491;-28,282187;-52,76924
1401975;-28,28223;-52,769363
1302489;-28,282425;-52,769527
1119909;-28,282578;-52,76958
1401974;-28,28254;-52,769646
1302488;-28,282644;-52,769657
1302487;-28,282658;-52,769768
1401973;-28,282757;-52,76973
1302486;-28,282804;-52,76988
1302434;-28,282854;-52,769943
1119812;-28,282804;-52,77
1302436;-28,282745;-52,769917
1302435;-28,28263;-52,7699
1302153;-28,282492;-52,769707
1401877;-28,28246;-52,76963
1302152;-28,282225;-52,76956
1302151;-28,282185;-52,769432
1302490;-28,282183;-52,769398
1401976;-28,281977;-52,76928
1119857;-28,281897;-52,76925
1302460;-28,281761;-52,769054
1401966;-28,28166;-52,768997
1302459;-28,28167;-52,768982
1302458;-28,281569;-52,768898
1302457;-28,281492;-52,768852
1401965;-28,28144;-52,768776
1302456;-28,281338;-52,768803
2270642;-28,281277;-52,768654
1119850;-28,281317;-52,768658
1119871;-28,281399;-52,768673
1119872;-28,28161;-52,76865
1302469;-28,281702;-52,768494
1302471;-28,281734;-52,76848
1302470;-28,281706;-52,768448
1302467;-28,281698;-52,768433
2586481;-28,281792;-52,76848
1302472;-28,28188;-52,7683
1302473;-28,281816;-52,768173
1302474;-28,28194;-52,768192
1302475;-28,281935;-52,768112
1119883;-28,282116;-52,767998
1302476;-28,28214;-52,767944
1401886;-28,281675;-52,767715
1302171;-28,281572;-52,767757
1119300;-28,281519;-52,76785
2048148;-28,28144;-52,768005
1119299;-28,28141;-52,768
1401885;-28,281317;-52,768166
